idpessoa,idproduto,qtitem
010001U5OQ,01000KYK1H,0.102
010001U5OQ,01000LQY0G,0.048
010001U5OQ,01000MNHKM,0.148
010001U5OQ,01000NOL8K,0.106
010001U5OQ,01000NXJ5W,0.648
010001U5OQ,01000O0F1T,0.158
010001U5OQ,01005ETF00,2
010001U5OQ,01005ETI1R,1
010001U5OQ,01008QLN01,1
010001UF6S,01000FPX52,0.3
010001UVCY,01000EPA33,0.29
010001UW3W,01000L5E0C,0.148
010001UW3W,01000N3U00,0.25
010001VE19,01000K8JBX,1
010001VO0U,01000J8ALS,0.2
010001VO0U,01000O0357,1.328
010001VV1B,01000M6C0J,1
010001VV1B,01000MKXCK,0.12
010001VV1B,01005BQQ1G,1
010001WC16,01000EW300,0.058
010001WC16,01000FLS7T,1
010001WM0A,01000E0HFX,0.318
010001WM0A,01000FKOKO,0.2
010001WM0A,01000O0D69,0.1
010001WP0J,010009QNH9,1
010001WP0J,01000FKU1M,1
010001WP0J,01000FZQ1N,1
010001WP0J,01000FZS4T,2
010001WP0J,01000HW14B,1
010001WP0J,01000M1H3G,1
010001WUAI,01000A6A3W,1
010001WUAI,01000EOM62,0.1
010001WUAI,01000EPA33,0.574
010001WUAI,01000EV9K6,0.134
010001WUAI,01000IVU3J,1
010001WUAI,01000KHOAD,0.064
010001WUAI,01000KJ0V5,0.204
010001WUAI,01000KM7NG,0.282
010001WUAI,01000KRYJG,0.202
010001WUAI,01000M0S94,2
010001WUAI,01000MK20M,0.138
010001WUAI,01000MMR7R,0.12
010001WUAI,01000N2UD9,0.142
010001WUAI,01000N2W4T,0.2
010001WUAI,01000NOX3W,0.1
010001WUAI,01000NXJ5W,0.623
010001WUAI,01000NXR1V,0.238
010001WUAI,01000NY92H,0.202
010001WUAI,01000NYFFY,0.202
010001WUAI,01000NYN3V,0.074
010001WUAI,01000O0D69,0.5
010001WUAI,01000O0F1T,0.126
010001WUAI,01001RA47I,0.314
010001WUAI,01005BRF0U,1
010001WUAI,01005BW49V,1
010001WV48,01000MQ60G,2
010001WW0G,01000AYE5G,0.134
010001WW0G,01000CJIGN,0.074
010001WW0G,01000FLBGS,0.032
010001WW0G,01000GVH25,1
010001WW0G,01000KYE8V,0.12
010001WW0G,01000L0F00,0.058
010001WW0G,01000L5K4V,0.422
010001WW0G,01000LAF1J,0.392
010001WW0G,01000LQY0G,0.052
010001WW0G,01000M2T07,0.062
010001WW0G,01000NYN3V,0.04
010001WW0G,01000O0D69,0.304
010001XCMX,01000AYCA1,0.484
010001XCMX,01000N2UD9,0.098
010001XCMX,01000NYJBF,0.25
010001XCMX,01000O01LH,0.912
010001XCMX,01000O05AO,0.25
010001XCMX,01000USZ2R,0.426
010001XCMX,01008C9MAO,1
010001XF20,01000EPA33,0.31
010001XF20,01000KED10,0.5
010001XF20,01000KLX5P,0.35
010001XF20,01000L1508,0.14
010001XF20,01000L9I47,0.01
010001XF20,01000LAPTM,0.2
010001XF20,01000LH0GG,0.212
010001XF20,01000MJ157,0.134
010001XF20,01000MJ6H2,0.1
010001XF20,01000O01LH,0.432
010001XF20,01003O1N0K,1
010001XF20,010091PWSQ,0.12
010001XGPV,01000AYCA1,0.31
010001XGPV,01000E0HFX,0.226
010001XGPV,01000EOO77,0.1
010001XGPV,01000N2O0Y,0.234
010001XGPV,01000NYN3V,0.176
010001XGPV,01003OJZ07,1
010001XI08,01000EUR9E,0.084
010001XI08,01000NON7S,0.282
010001Y3LC,01000MS22J,1
010001Y4CG,01000EEQEN,0.336
010001Y4CG,01000EOO77,0.14
010001Y4CG,01000LD568,0.162
010001Y4CG,01000MKC8T,0.104
010001Y4CG,01000MN55A,0.502
010001Y4CG,01000O0F1T,0.1
010001Y4CG,01000O2I1H,0.068
010001Y4CG,010091PWSQ,0.138
010001Y92W,010009Y8H1,1
010001Y92W,01000BT50M,1
010001YBIY,010009FQ85,1
010001YBIY,01000AYCA1,0.106
010001YBIY,01000CD901,0.106
010001YBIY,01000DGVFZ,0.202
010001YBIY,01000DHJ7O,0.156
010001YBIY,01000KZTDQ,0.102
010001YBIY,01000MKN7Z,0.1
010001YBIY,01000MMP5R,0.052
010001YBIY,01000O2I1H,0.05
010001YBIY,01001RA47I,0.102
010001YKFL,01000KOS87,0.08
010001YKFL,01000LQY0G,0.034
010001YKFL,01000N3C06,0.052
010001YKFL,01000NYN3V,0.108
010001YL09,01000EPA33,1.474
010001YL09,01000LB1H6,0.316
010001YL09,01000NOR8E,0.514
010001YN4D,01008QQX0X,1
010001YN4D,0100B5RE0X,4
010001YQLK,01000KZTDQ,0.1
010001YQLK,01000MP7EA,0.23
010001YQLK,01000O2I1H,0.1
010001YQLK,01003JRUGG,0.106
010001YU8R,01000NA31O,2
010001YWLW,01000CH72A,1
010001YWLW,01000M1H3G,2
010001YWLW,01000QMDMA,10
010001YWLW,01003M2P0O,1
010001YYCK,01000AYE5G,0.2
010001YYCK,01000CD901,0.17
010001YYCK,01000KJY9W,0.05
010001YYCK,01000L5M0Y,0.226
010001YYCK,01000M2JHY,0.086
010001YYCK,01000MJ157,0.1
010001YYCK,01000MMF8H,0.082
010001YYCK,01000MMV3C,0.148
010001YYCK,01000N2W4T,0.058
010001YYCK,01000NQQ1J,1
010001YYCK,01000NY92H,0.102
010001YYCK,01000NYFFY,0.044
010001Z0EQ,01000E7I0F,2
010001Z0EQ,01000OL7D9,0.106
010001Z0EQ,01003UFF0T,1
010001Z20X,01000EQM00,0.042
010001Z20X,01000FLBGS,0.056
010001Z20X,01000FPX52,0.977
010001Z20X,01000J8ALS,0.096
010001Z20X,01000OLD0S,0.35
010001Z80W,01000OLSG2,8
010001ZLUK,01000AYCA1,0.402
010001ZLUK,01000AYE5G,0.084
010001ZLUK,01000CD2N4,0.174
010001ZLUK,01000CD901,0.536
010001ZLUK,01000EPOAI,0.1
010001ZLUK,01000EQC88,0.266
010001ZLUK,01000FXF0I,0.116
010001ZLUK,01000KRYJG,0.142
010001ZLUK,01000L5K4V,0.182
010001ZLUK,01000M2T07,0.104
010001ZLUK,01000MMP5R,0.332
010001ZLUK,01000MN9C8,0.142
010001ZLUK,01000N2M1N,0.1
010001ZLUK,01000N2W4T,0.1
010001ZLUK,01005BW49V,1
010001ZLUK,01008SSG0T,0.098
010001ZLUK,01008STKD4,0.096
010001ZU9C,01000CBD19,1
010001ZU9C,01008CS0L4,1
010001ZYBZ,01000AYCA1,1.572
010001ZYBZ,01000CD901,1.5
010001ZYBZ,01000E0HFX,0.2
010001ZYBZ,01000LAF1J,1.004
010001ZYBZ,01000NYLIQ,1
01000204ME,01000CD2N4,0.184
01000204ME,01000EW300,0.1
01000204ME,01000FXF0I,0.138
01000204ME,01000KE5EV,1
01000204ME,01000KIS1C,0.234
01000204ME,01000L1508,1
01000204ME,01000L9C3U,0.124
01000204ME,01000LH0GG,0.452
01000204ME,01000M23WQ,0.686
01000204ME,01000MJ157,0.126
01000204ME,01000MMV3C,0.17
01000204ME,01000MN9C8,0.132
01000204ME,01000MSGHL,1
01000204ME,01000N2UD9,0.128
01000204ME,01000N9VA7,0.134
01000204ME,01000O2ERW,0.092
01000204ME,01005BW49V,1
010002066J,01000AYE5G,0.236
010002066J,01000CD2N4,2.08
010002066J,01000KU49H,0.386
010002066J,01000LAPTM,0.532
010002066J,01000MMV3C,0.312
010002066J,01000O0F1T,0.198
010002066J,01000O10GL,1
0100020G8W,01000AYCA1,0.202
0100020G8W,01000ELG0Q,1
0100020G8W,01000EW300,0.072
0100020G8W,01003N5WF7,0.058
0100020II3,01000ADU55,8
0100020JHT,01000EOO77,0.242
0100020JHT,01000EPOAI,0.3
0100020JHT,01000MLZAU,0.142
0100020JHT,01000O05AO,0.304
0100020U72,010009QNH9,1
0100020U72,010009YA24,1
0100020U72,01000ATID7,1
0100020U72,01000B934B,1
0100020U72,01000ECI0D,2
0100020U72,01000G067U,1
0100020U72,01000J0UEO,1
0100020U72,01000J104L,4
0100020U72,01000K7E42,1
0100020U72,01000KRYJG,0.106
0100020U72,01000L9Y8B,1
0100020U72,01000N2W4T,0.102
0100020U72,01000OKD0E,1
0100020U72,01000OND3Q,0.028
0100020U72,01002FKM06,7
0100020U72,01005BW49V,1
0100020U72,0100B5RE0X,1
0100020Y3U,01000MJ157,0.14
0100020Y3U,01000MMN9L,0.402
0100020Y3U,01000NOV36,0.158
01000216HG,01000E0HFX,0.13
01000216HG,01000O0F1T,0.25
0100021AD8,01000AFAE3,0.234
0100021AD8,01000AYE5G,0.124
0100021AD8,01000DVW4U,0.234
0100021AD8,01000EPA33,0.434
0100021AD8,01000EPOAI,0.144
0100021AD8,01000EW300,0.068
0100021AD8,01000FUU2O,1
0100021AD8,01000KXS20,0.35
0100021AD8,01000L5M0Y,0.32
0100021AD8,01000LH0GG,0.896
0100021AD8,01000LH67P,0.244
0100021AD8,01000MKG14,0.088
0100021AD8,01000MM11A,0.606
0100021AD8,01000MP7EA,0.34
0100021AD8,01000N2E9E,0.286
0100021AD8,01000N2O0Y,0.122
0100021AD8,01000N3Q71,0.322
0100021AD8,01000N9JCM,0.746
0100021AD8,01000NOR8E,0.998
0100021AD8,01000NP78Q,0.266
0100021AD8,01000NWI43,2
0100021AD8,01000NXR1V,0.154
0100021AD8,01000NY7O5,1.384
0100021AD8,01000NYBMF,0.146
0100021AD8,01000O0Y3L,0.158
0100021AD8,01000O2ERW,0.166
0100021AD8,01000OM151,0.082
0100021AD8,01005BW49V,5
0100021AD8,01008PXSCR,0.252
0100021D2J,01000CD901,0.112
0100021D2J,01000FZQ1N,1
0100021D2J,01000L9C3U,0.09
0100021D2J,01000M0S94,2
0100021D2J,01000M3LP0,0.1
0100021D2J,01000MMP5R,0.272
0100021D2J,01000NOX3W,0.106
0100021D2J,01000O05AO,0.316
0100021D2J,01000OLSG2,1
0100021D2J,01008MAD0O,0.104
0100021D2J,0100B5RE0X,2
0100021ECU,01000KCY0Y,0.094
0100021ECU,01000LPPEU,1
0100021ECU,01000N6140,0.1
0100021ECU,01000NQQ1J,2
0100021ECU,01000O0713,0.308
0100021ECU,01001RA47I,0.3
0100021RPX,01000CD901,0.152
0100021RPX,01000E0HFX,0.13
0100021RPX,01000EOM62,0.11
0100021RPX,01000EQC88,0.262
0100021RPX,01000KJ0V5,0.17
0100021RPX,01000KJY9W,0.076
0100021RPX,01000KLB8A,0.1
0100021RPX,01000KP623,0.076
0100021RPX,01000KQ83N,0.11
0100021RPX,01000KY216,0.094
0100021RPX,01000L5K4V,0.304
0100021RPX,01000LAF1J,1.016
0100021RPX,01000MJ157,0.258
0100021RPX,01000MKC8T,0.118
0100021RPX,01000MLZAU,0.138
0100021RPX,01000MMX90,0.086
0100021RPX,01000NHKF1,0.07
0100021RPX,01000NOX3W,0.424
0100021RPX,01000O01LH,1.022
0100021RPX,01000O0F1T,0.084
0100021RPX,01008SSG0T,0.116
0100021RPX,01008STF01,0.126
0100021RPX,01008STKD4,0.334
0100021RPX,0100EU6R1V,0.104
0100021UB0,01000AHL0A,1
0100021UB0,01000AYCA1,0.2
0100021UB0,01000BUV4B,1
0100021UB0,01000CD901,0.2
0100021UB0,01000DCE0Q,0.032
0100021UB0,01000FSY40,1
0100021UB0,01000FZQ1N,1
0100021UB0,01000H5Z9Q,1
0100021UB0,01000H6P6A,1
0100021UB0,01000H75BT,1
0100021UB0,01000H815G,1
0100021UB0,01000HBREJ,1
0100021UB0,01000HCK33,1
0100021UB0,01000KGQM2,0.124
0100021UB0,01000KI8KS,0.096
0100021UB0,01000MIXGC,0.5
0100021UB0,01000MNB0I,0.202
0100021UB0,01000MND0U,0.5
0100021UB0,01000N2O0Y,0.2
0100021UB0,01000NON7S,0.586
0100021UB0,01000NP78Q,0.2
0100021UB0,01000NXJ5W,0.662
0100021UB0,01000NYLIQ,0.064
0100021UB0,01002FKM06,1
0100021UB0,01008SSG0T,0.202
0100021YAA,01000B934B,1
0100021YAA,01000KEF01,0.058
0100022324,01000AYCA1,0.208
0100022324,01000CD901,0.31
0100022324,01000EV9K6,0.124
0100022324,01000KCUFP,0.104
0100022324,01000KCY0Y,0.218
0100022324,01000N6140,0.14
0100022324,01000NPF0E,0.076
0100022324,01000O01LH,1.294
010002291D,01000EQM00,0.022
010002291D,01000KJY9W,0.5
0100022G1J,01000M0S94,4
0100022JDY,010009QNH9,2
0100022M0A,01000KYK1H,0.632
0100022M0A,01000LAF1J,0.476
0100022M0A,01000MMJ7V,0.134
0100022M0A,01000MSC0E,1
0100022M0A,01000N9VA7,0.152
0100022M0A,01000O0D69,0.124
0100022S3Z,01000D9U02,0.052
0100022S3Z,01000M3LP0,0.03
0100022S3Z,01000NUL0T,0.102
0100022WAN,01000D9U02,0.162
0100022WAN,01000DCE0Q,0.02
0100022WAN,01000EOO77,0.094
0100022WAN,01000EOQPD,0.1
0100022WAN,01000I742Z,1
0100022WAN,01000J8ALS,0.106
0100022WAN,01000KD4BG,0.05
0100022WAN,01000KHOAD,0.1
0100022WAN,01000KMW1Q,0.076
0100022WAN,01000KRYJG,0.104
0100022WAN,01000M1H3G,1
0100022WAN,01000M3LP0,0.272
0100022WAN,01000MIXGC,0.152
0100022WAN,01000MMP5R,0.05
0100022WAN,01000MOZ19,0.3
0100022WAN,01000MP11H,0.072
0100022WAN,01000N2O0Y,0.098
0100022WAN,01000N2W4T,0.106
0100022WAN,01000NOJ6S,0.05
0100022WAN,01000NON7S,0.1
0100022WAN,01000NOT3B,0.182
0100022WAN,01000NOX3W,0.05
0100022WAN,01000NP99X,0.05
0100022WAN,01000NUL0T,0.102
0100022WAN,01000NY92H,0.05
0100022WAN,01000NYBMF,0.05
0100022WAN,01000NYFFY,0.05
0100022WAN,01000NZP31,0.05
0100022WAN,01005BW49V,1
0100022WAN,01008SSG0T,0.052
010002300R,01000E0HFX,0.2
010002300R,01000H9J6L,1
010002300R,01000HE61U,1
010002300R,01000MKICO,0.116
010002300R,01000N2E9E,0.122
010002300R,01000N9JCM,0.122
01000231C3,01000DCE0Q,0.032
01000231C3,01000O2I1H,0.06
010002320Q,01000DDTD7,0.1
010002320Q,01000E0HFX,0.102
010002320Q,01000FCL05,1
010002320Q,01000M0S94,1
010002320Q,01000MJ833,0.134
010002320Q,01000NP78Q,0.102
010002320Q,01000NQ3JT,1
010002320Q,01000NT4CH,4
010002320Q,01000NZP31,0.1
010002320Q,01000NZX3J,0.29
010002320Q,01001QMT66,1
010002320Q,01003UFKEG,3
010002320Q,01005BW49V,2
010002341G,01000DCE0Q,0.03
010002341G,01000FPX52,2.042
010002341G,01000GE1AU,7
010002341G,01000HZYF7,1
010002341G,01000JMQ3T,1
010002341G,01000M1H3G,1
010002341G,01000NOL8K,0.11
010002341G,01000OL7D9,0.102
010002341G,01001RA47I,2.724
010002341G,01003UFKEG,1
0100023919,01000CG6EI,1
0100023919,01000DKOB8,0.13
0100023919,01000KEB58,1
0100023919,01000NYN3V,0.048
0100023919,01000OND3Q,0.05
0100023A39,01000EOM62,0.104
0100023A39,01000KJ0V5,0.072
0100023A39,01000KRM02,0.066
0100023A39,01000M2T07,0.042
0100023A39,01000N2W4T,0.108
0100023A39,01000NHKF1,0.106
0100023A39,01000NOX3W,0.124
0100023K7T,01000CWW62,1
0100023K7T,01000M1H3G,1
0100023K7T,01000M23WQ,0.328
0100023K7T,01000MIXGC,0.304
0100023K7T,01000MUD12,1
0100023K7T,01008QQX0X,1
0100023K7T,01008SUQ46,0.112
0100024DAA,01000JP050,1
0100024DAA,01000M0S94,1
0100024S23,010009ZP03,1
0100024S23,01000FZS4T,1
0100024S23,01000I2V5Z,1
0100024S23,01000IY103,1
0100024S23,01000K7E42,3
0100024S23,01000KEB58,1
0100024S23,01000M1H3G,1
0100024S23,01000MIXGC,0.088
0100024S23,01000MQ60G,1
0100024S23,01000NUL0T,0.082
0100024S23,01001XRI1O,1
0100024S23,01008C86F4,1
0100024S23,01009IFUK4,1
0100024S23,0100B5RE0X,3
0100024S23,0100BYV0AK,1
0100024VKZ,010009O3LJ,0.136
0100024VKZ,01000BI385,0.104
0100024VKZ,01000EEQEN,0.202
0100024VKZ,01000KOKCB,0.144
0100024VKZ,01000KPW81,0.25
0100024VKZ,01000LD568,0.1
0100024VKZ,01000NOL8K,0.1
0100024VKZ,01000NPF0E,0.108
0100024VKZ,01000OM54D,0.178
0100024Z7L,01000AYE5G,0.126
0100024Z7L,01000B3SDW,1
0100024Z7L,01000J011F,1
0100024Z7L,01003M2P0O,1
0100024Z7L,0100B5RE0X,1
0100024Z7L,0100BZZP04,1
01000253TR,01000AYCA1,0.1
01000253TR,01000BU44B,1
01000253TR,01000NOJ6S,0.1
01000253TR,01000NYFFY,0.102
01000253TR,0100B5RE0X,4
0100025E4J,01000CVP19,1
0100025P1R,01000GE1AU,7
0100025P1R,01000MZK3V,1
0100025P1R,01000OLSG2,1
0100025P1R,01003M2P0O,1
0100025P1R,0100BVG809,1
0100025P1R,0100BVGBFW,1
0100025P1R,0100BVGELN,1
0100025P1R,0100BVGH2H,1
0100025S48,010009M8J5,1
0100025S48,01000A5GPB,1
0100025S48,01000MYUKX,1
0100025S48,01001QLF9P,1
0100025S48,01003M2TI3,1
0100025S48,01003M2X92,1
0100025S48,01003M3SC3,1
0100026DS0,01000KRM02,0.02
0100026DS0,01000NY7O5,0.2
0100026DS0,01000O2I1H,0.042
0100026O6Q,01000FXF0I,0.3
0100026O6Q,01005BRP5F,1
0100026O6Q,01005BU7CT,5
0100026O6Q,01005BXG7V,3
0100026S51,01000M6C0J,1
0100026ZC9,01000EOO77,0.216
0100026ZC9,01000EOSBR,0.2
0100026ZC9,01000IYX0V,1
0100026ZC9,01000KJY9W,0.224
0100026ZC9,01000KRYJG,0.416
0100026ZC9,01000MSC0E,2
0100026ZC9,01000N0S53,1
0100026ZC9,01000N2W4T,0.202
0100026ZC9,01000NX712,2
0100026ZC9,01003UFF0T,1
0100026ZC9,01005BO1AC,1
0100026ZC9,01008SUQ46,0.214
0100027CAY,01000AYE5G,0.322
0100027CAY,01000CD901,0.15
0100027CAY,01000D9U02,0.124
0100027CAY,01000DFG42,2
0100027CAY,01000DKOB8,0.626
0100027CAY,01000E0HFX,0.57
0100027CAY,01000EOM62,0.202
0100027CAY,01000KMW1Q,0.05
0100027CAY,01000KRM02,0.05
0100027CAY,01000KRYJG,0.192
0100027CAY,01000L5K4V,0.1
0100027CAY,01000LAF1J,0.952
0100027CAY,01000LQY0G,0.042
0100027CAY,01000N2W4T,0.424
0100027CAY,01000N97CS,0.09
0100027CAY,01000NOX3W,0.204
0100027CAY,01000NXJ5W,0.502
0100027CAY,01000NYN3V,0.05
0100027CAY,01000O01LH,0.652
0100027CAY,01000O47BX,0.084
0100027CAY,01000O55DH,1
0100027CAY,01000XRI28,1
0100027CAY,01003JRUGG,0.248
0100027CAY,01003LBU05,1
0100027CAY,01003LBY36,2
0100027CAY,01005BW49V,9
0100027CAY,01005Y2L4D,1
0100027CAY,01008SSG0T,0.116
0100027CAY,01009537AE,0.24
0100027CAY,0100AXSXDO,0.1
0100027CAY,0100B5RE0X,2
0100027CAY,0100EU6R1V,0.398
0100027W6C,01000DGVFZ,0.202
0100027W6C,01000GE1AU,4
0100027W6C,01000I0OOQ,1
0100027W6C,01000J287S,1
0100027W6C,01000JMQ3T,1
0100027W6C,01000JOA0H,1
0100027W6C,01000MKRBB,0.094
0100027W6C,01000MKXCK,0.1
0100027W6C,01000MKZ9U,0.1
0100027W6C,01001QLF9P,1
0100027W6C,01001QNO2P,1
0100027W6C,01005BW49V,1
0100027W6C,01005TBH05,1
0100027W6C,0100B5RE0X,1
010002803L,010009MW0A,1
010002803L,01000NWI43,1
0100028C3M,01000KYK1H,0.25
0100028C3M,01000NOR8E,1
0100028C3M,01000NXJ5W,0.808
0100028C3M,01000O2I1H,0.144
010002954C,01000N2W4T,0.168
010002954C,01008MAD0O,0.106
0100029ALV,01000AFAE3,0.1
0100029ALV,01000E0HFX,0.098
0100029ALV,01000J9QBJ,1
0100029ALV,01000JP050,2
0100029ALV,01000M1H3G,1
0100029ALV,01000M3LP0,0.1
0100029ALV,01000MP7EA,0.216
0100029ALV,01000MPJA3,0.12
0100029ALV,01000N2E9E,0.15
0100029ALV,01000NQ3JT,2
0100029ALV,01000O0Y3L,0.16
0100029ALV,01000OKD0E,1
0100029ALV,01001QN504,1
0100029ALV,01008QQX0X,1
0100029ALV,0100B5RE0X,2
0100029D4Z,010009QZ8S,2
0100029D4Z,01000AFR2P,1
0100029D4Z,01000E2274,2
0100029D4Z,01000FZK6K,3
0100029D4Z,01000KYK1H,0.4
0100029D4Z,01008C9MAO,2
0100029Y7S,01000E2274,1
0100029Y7S,01000FXF0I,0.128
0100029Y7S,01000FZS4T,1
0100029Y7S,01000HWL1G,1
0100029Y7S,01000JO41C,1
0100029Y7S,01000LAX1V,1
0100029Y7S,01000N4G0Y,1
0100029Y7S,01000N9VA7,0.144
0100029Y7S,01008QLN01,1
0100029Y7S,0100ATP7D5,1
010002A19Z,01000ASB3A,1
010002A19Z,01000BU44B,1
010002A19Z,01000BUV4B,2
010002A19Z,01000CSZ5V,2
010002A19Z,01000FZQ1N,1
010002A19Z,01000KRM02,0.1
010002A19Z,01000KY658,0.192
010002A19Z,01000L5E0C,0.146
010002A19Z,01000MTJ1Q,1
010002A19Z,01000NA31O,1
010002A19Z,01000NOL8K,0.102
010002A19Z,01000NYN3V,0.086
010002A19Z,01002F6TK1,2
010002A19Z,01005TBS8Y,1
010002A19Z,01008BEJ0M,1
010002A33D,01000KRYJG,0.106
010002A33D,01000KXU04,0.108
010002A33D,01000N2W4T,0.106
010002A33D,01000NOX3W,0.106
010002A33D,01000NYFFY,0.092
010002A33D,01000NYN3V,0.052
010002AI7B,010009QZ8S,1
010002AI7B,01000IX0CR,1
010002AI7B,01000J5U0J,1
010002AI7B,01000JP2B1,1
010002AI7B,01008CBH15,1
010002AW1B,01000AYE5G,0.086
010002AW1B,01000EQM00,0.022
010002AW1B,01000L9M1M,0.146
010002AW1B,01000L9WBF,0.05
010002AW1B,01000N2M1N,0.054
010002AW1B,01000O05AO,0.306
010002AW1B,01000O0H63,0.104
010002AW1B,01000O2I1H,0.078
010002AZ00,01000FZS4T,1
010002AZ00,0100B5RE0X,1
010002B93K,01000E2274,2
010002B93K,01000FXF0I,0.13
010002B93K,01000L9WBF,0.098
010002B93K,01000MOZ19,0.374
010002B93K,01000OLD0S,0.332
010002BF3R,01000CX98F,2
010002BF3R,01000F836I,1
010002BF3R,01000FOD0Y,1
010002BF3R,01000M1H3G,1
010002BF3R,01009C1D5N,1
010002BH3K,010009JH2T,1
010002BH3K,010009NRB5,1
010002BH3K,010009OY2D,0.15
010002BH3K,01000AFAE3,0.114
010002BH3K,01000AOW0T,4
010002BH3K,01000CVZM1,1
010002BH3K,01000D7R2W,0.21
010002BH3K,01000EID6D,1
010002BH3K,01000EOM62,0.108
010002BH3K,01000EPOAI,0.138
010002BH3K,01000ER4DD,0.072
010002BH3K,01000EUR9E,0.082
010002BH3K,01000FLBGS,0.032
010002BH3K,01000FLS7T,1
010002BH3K,01000FQY0N,1
010002BH3K,01000FXF0I,0.154
010002BH3K,01000HZP9V,1
010002BH3K,01000I0OOQ,1
010002BH3K,01000IYV8Y,1
010002BH3K,01000JPA1D,1
010002BH3K,01000KIS1C,0.118
010002BH3K,01000KLHIR,0.186
010002BH3K,01000KLJGW,0.33
010002BH3K,01000KP623,0.234
010002BH3K,01000KY216,0.076
010002BH3K,01000KYK1H,0.212
010002BH3K,01000KZTDQ,0.172
010002BH3K,01000L9C3U,0.26
010002BH3K,01000L9K53,0.146
010002BH3K,01000L9O0B,0.16
010002BH3K,01000LD568,0.3
010002BH3K,01000LH67P,0.15
010002BH3K,01000LQY0G,0.06
010002BH3K,01000M1H3G,11
010002BH3K,01000M2JHY,0.106
010002BH3K,01000M5I6R,1
010002BH3K,01000MIXGC,0.204
010002BH3K,01000MK20M,0.16
010002BH3K,01000MKC8T,0.12
010002BH3K,01000MKG14,0.218
010002BH3K,01000MMJ7V,0.168
010002BH3K,01000MOZ19,0.122
010002BH3K,01000MP11H,0.15
010002BH3K,01000MP7EA,0.132
010002BH3K,01000N2E9E,0.11
010002BH3K,01000N2M1N,0.05
010002BH3K,01000N6140,0.156
010002BH3K,01000NON7S,0.128
010002BH3K,01000NOV36,0.158
010002BH3K,01000NQQ1J,1
010002BH3K,01000NYLIQ,0.082
010002BH3K,01000O01LH,0.718
010002BH3K,01000O2I1H,0.152
010002BH3K,01000OFH0T,1
010002BH3K,01000OM151,0.114
010002BH3K,01001XZ74P,1
010002BH3K,01002FE843,1
010002BH3K,01003M2LN4,2
010002BH3K,01003M3GBG,1
010002BH3K,01005NE525,0.512
010002BH3K,01005NE95C,0.13
010002BH3K,01005Y2L4D,1
010002BH3K,010062JX01,1
010002BH3K,010062KN7B,1
010002BH3K,0100657N0C,0.15
010002BH3K,01008C0KFH,1
010002BH3K,01008PXXFQ,0.25
010002BH3K,01008PXZ0K,0.298
010002BH3K,01008STF01,0.126
010002BH3K,010091PWSQ,0.102
010002BH3K,010091PZ2Y,0.2
010002BH3K,0100953113,0.5
010002BH3K,0100ATN73C,2
010002BH3K,0100AXSXDO,0.21
010002BR11,01000MKICO,4.81
010002BR11,01000MP11H,0.462
010002BY13,01000AYCA1,0.288
010002BY13,01000KLHIR,0.226
010002BY13,01000KLJGW,0.068
010002BY13,01000MJ157,0.114
010002BY13,01000MMJ7V,0.112
010002BY13,01000MN14Z,0.154
010002BY13,01000MN9C8,0.336
010002BY13,01000N367E,0.092
010002BY13,01000N9VA7,0.126
010002BY13,01000NOL8K,0.222
010002BY13,01000NON7S,0.08
010002BY13,01000NPF0E,0.21
010002BY13,01000NQQ1J,2
010002BY13,01000NXR1V,0.204
010002BY13,01000NZX3J,0.21
010002BY13,01000O0D69,0.256
010002BY13,01000OL52Q,0.148
010002BY13,01003NFSGN,0.03
010002BZA0,01000AFR2P,1
010002BZA0,01000EQ0H5,1
010002BZA0,01009C7YKH,1
010002C2EL,01000EOO77,0.2
010002C2EL,01000FLBGS,0.05
010002C2EL,01000KZTDQ,0.152
010002C91D,01000KH2SL,0.112
010002C91D,01000L9I47,0.106
010002C91D,01000M23WQ,0.104
010002C91D,01000MQI7I,1
010002C91D,01000N2E9E,0.15
010002C91D,01000NFADZ,1
010002CA3K,01000AYE5G,0.052
010002CA3K,01000D9U02,0.1
010002CA3K,01000EOQPD,0.2
010002CA3K,01000KJ0V5,0.102
010002CA3K,01000KQ298,0.05
010002CA3K,01000MMJ7V,0.363
010002CA3K,01000NX712,1
010002CA3K,01000NYFFY,0.102
010002CA3K,01000NYN3V,0.05
010002CA3K,01005Y2L4D,1
010002CM0E,01000H5E7E,1
010002CM0E,01000HOO86,1
010002CW8H,01000OKD0E,1
010002CW8H,01008CBH15,1
010002D003,01000K7E42,1
010002D003,01000LPD8F,1
010002D003,01000M1H3G,4
010002D003,01002F6TK1,1
010002D163,010009QEBB,0.206
010002D163,010009Y8H1,1
010002D163,010009YM1Y,1
010002D163,01000A4X6V,1
010002D163,01000AHIA1,1
010002D163,01000AI3AM,0.07
010002D163,01000AWX4D,0.704
010002D163,01000AYCA1,2.944
010002D163,01000BJDA0,1
010002D163,01000CD901,0.702
010002D163,01000D9OFM,0.082
010002D163,01000D9U02,0.118
010002D163,01000DCE0Q,0.04
010002D163,01000DS11G,2
010002D163,01000E0HFX,0.418
010002D163,01000E2274,1
010002D163,01000EO252,2
010002D163,01000EOO77,0.55
010002D163,01000EOQPD,0.2
010002D163,01000EOSBR,0.084
010002D163,01000EQC88,0.612
010002D163,01000EQM00,0.012
010002D163,01000FH523,2
010002D163,01000FKOKO,0.057
010002D163,01000FLBGS,0.138
